gene,fc_control_igt,fc_igt_t2dm,p_control_igt,p_igt_t2dm,control_mean,igt_mean,t2dm_mean
ENSG00000171227,0.227948714740499,-1.2846961114784379,0.2375906688467227,7.620574023064429e-11,653.047619047619,765.0,313.4102564102564
ENSG00000081181,-0.08380233841646151,-1.512682131850476,0.7228283468028085,3.1436099389365516e-10,727.952380952381,686.8157894736842,240.05128205128204
ENSG00000163581,0.08846143255956722,-1.721441553760294,0.6997202581899397,7.381001611065573e-10,930.0952380952381,988.9736842105264,299.20512820512823
ENSG00000134121,0.02177005703167877,-1.4357846048152327,0.9216320230805769,1.2273069511845864e-09,978.4761904761905,993.3684210526316,366.56410256410254
ENSG00000165195,-0.19669418762030502,-1.0794952708056342,0.35382924575225294,1.0049225287815875e-08,1212.4761904761904,1057.8157894736842,500.02564102564105
ENSG00000135447,0.1988459780567947,-1.1252849235054156,0.3365394226621954,2.112030344642257e-08,1534.6190476190477,1761.5526315789473,806.974358974359
ENSG00000147003,0.07670281942730466,-1.3640018873267932,0.752171394728044,2.2518487518188774e-08,1061.3333333333333,1119.342105263158,434.2564102564103
ENSG00000176533,0.18235775953419542,-0.8151986633055177,0.25654649764859006,3.0507659657052e-08,327.57142857142856,371.8421052631579,210.89743589743588
ENSG00000169299,0.07988892231431714,-0.9097952176383217,0.6619589228793648,3.931795921704439e-08,319.1904761904762,337.42105263157896,179.12820512820514
ENSG00000138622,0.349193915345983,-1.1427430378785568,0.10875514637827667,7.147309540939753e-08,31.0,39.76315789473684,17.46153846153846
ENSG00000172575,-0.0717241532329846,-1.1514373971802254,0.7422450994392775,7.852352426662775e-08,1091.7619047619048,1038.7631578947369,467.0769230769231
ENSG00000174567,0.21550043724385376,-0.8121823935764203,0.19988459165012695,7.996751914780302e-08,697.3809523809524,809.8947368421053,460.8205128205128
ENSG00000171004,0.11956155520396664,-1.4416668336578808,0.6439326679410737,1.0000238492835993e-07,237.61904761904762,258.2368421052632,94.43589743589743
ENSG00000265179,-0.055780741661535176,-0.9436742999566281,0.7754795169853617,1.0516448330136947e-07,512.8571428571429,493.36842105263156,256.02564102564105
ENSG00000187068,0.15625201977290373,-1.2508453034146585,0.5353966216670394,1.2394532111296306e-07,163.38095238095238,182.18421052631578,75.97435897435898
ENSG00000123836,0.12965165808913306,-1.1120015889477264,0.5410319698874821,1.4320740366896436e-07,20564.571428571428,22498.342105263157,10408.358974358975
ENSG00000111644,0.2719608978738499,-1.2044660436909702,0.2425056229980287,1.5653014843284807e-07,87.33333333333333,105.65789473684211,45.282051282051285
ENSG00000144837,0.26634783154118197,-1.2270983651284177,0.24099005747034508,1.9663432032831413e-07,283.76190476190476,341.5,145.30769230769232
ENSG00000138660,0.10405937629247425,-0.769397234714291,0.5372396510681127,2.2371832325338022e-07,339.2857142857143,364.7368421052632,213.56410256410257
ENSG00000025039,0.19777598060234639,-0.777755311339927,0.23644971858125932,2.5773437879587207e-07,1725.142857142857,1978.7631578947369,1153.7435897435898
ENSG00000146072,0.2096706000715809,-0.714180600841491,0.20763992622288333,3.4487941942101763e-07,1805.4761904761904,2088.0526315789475,1272.3846153846155
ENSG00000205795,0.1236640312894482,-1.209474446559785,0.58563827112859,4.4117173169463616e-07,120.85714285714286,131.76315789473685,56.41025641025641
ENSG00000143549,0.2538447234106515,-0.7048545035262745,0.11845728884497526,4.712941492200405e-07,5509.714285714285,6569.868421052632,4030.25641025641
ENSG00000127870,-0.13090431067506178,-1.0626527850815761,0.546345178134193,5.375906859126078e-07,3633.2380952380954,3318.0,1587.974358974359
ENSG00000010282,0.18085729427951516,-1.556664207888891,0.5168786200602828,7.408099924102471e-07,410.0952380952381,465.0,157.4102564102564
ENSG00000176928,0.11173716116808631,-0.9840798437152712,0.5820404055860631,1.207820726121584e-06,2027.904761904762,2191.2894736842104,1107.3076923076924
ENSG00000102048,0.05609162461278975,-0.9697316025071937,0.8142248949437139,1.8498840278335014e-06,8242.52380952381,8569.342105263158,4375.025641025641
ENSG00000249242,0.22729489721917667,-0.8470119088155319,0.2290587806160137,1.979847130187144e-06,1192.5238095238096,1396.1842105263158,775.7435897435897
ENSG00000131473,0.2107721828289762,-0.6060880751093212,0.14661880133127705,2.1543732609374546e-06,7110.857142857143,8229.605263157895,5406.307692307692
ENSG00000130830,0.17763506987175467,-0.6859373428966198,0.26678111522863224,2.177551236059155e-06,1045.904761904762,1183.078947368421,735.025641025641
ENSG00000174456,0.22474468136835915,-0.5894336838839961,0.12182045064272953,2.3097801363032863e-06,598.0,698.9736842105264,464.20512820512823
ENSG00000161267,0.1325020766469324,-0.7024131064107498,0.42600829146422114,2.4425441230213266e-06,164.38095238095238,180.28947368421052,110.41025641025641
ENSG00000226454,0.518091653946588,-1.4749915476275197,0.12883208262822854,2.9753668815135975e-06,18.80952380952381,27.36842105263158,9.205128205128204
ENSG00000145907,0.0676863778124917,-0.5931246632987414,0.6442975906567506,3.220789683212005e-06,2838.9523809523807,2975.3684210526317,1972.051282051282
ENSG00000162949,-0.008552711911338457,-0.9810326864794457,0.9703267590555886,3.3159557562200004e-06,2282.7619047619046,2269.2631578947367,1149.1538461538462
ENSG00000196177,0.0556596638507945,-0.6963880300419575,0.7256198434876708,3.4707770728884145e-06,771.7619047619048,802.1578947368421,494.64102564102564
ENSG00000171724,0.04638926330169165,-0.8006925951047705,0.8028915651948558,3.554163131153107e-06,844.0952380952381,871.7105263157895,500.0
ENSG00000166111,0.21631593545832353,-0.7128277571763347,0.2361314200401947,3.7384611794019207e-06,1043.7142857142858,1212.7105263157894,739.5128205128206
ENSG00000197894,0.22579125079726736,-0.6102597878715272,0.1346650172596652,3.819590533961582e-06,1714.0,2004.5526315789473,1312.7948717948718
ENSG00000152254,0.03474667092675101,-0.8527885184361713,0.8498553704389202,4.252786847726087e-06,29508.285714285714,30227.63157894737,16737.0
ENSG00000111674,0.2173504213386372,-0.6134590186431326,0.18227850652244929,5.034090482171433e-06,2602.4285714285716,3025.7368421052633,1977.3589743589744
ENSG00000132964,-0.061561551558697365,-0.593358597289744,0.7192172041376352,5.038838283070161e-06,607.3333333333334,581.921052631579,385.35897435897436
ENSG00000069702,0.11448231775467722,-0.7574184818886935,0.5470608826120551,5.731921714772202e-06,2473.1428571428573,2677.4736842105262,1583.4615384615386
ENSG00000166908,0.23388718104083991,-0.5583148319097005,0.13127119637940607,5.89623538254723e-06,880.3333333333334,1035.4473684210527,702.8461538461538
ENSG00000267454,0.26504997472626407,-0.7361748392964675,0.14724464481658744,6.636783588167176e-06,216.8095238095238,260.7368421052632,156.12820512820514
ENSG00000057704,0.17873151603543688,-0.6760144887663382,0.3320303530711074,6.686745913051745e-06,1060.5238095238096,1200.5263157894738,751.025641025641
ENSG00000239789,0.1486032303337962,-0.6056607003806812,0.2960611636200098,6.8206104409826964e-06,373.4761904761905,414.10526315789474,271.79487179487177
ENSG00000186197,0.17459853270321124,-0.709696973708948,0.33899893207765264,7.045056359252314e-06,801.2857142857143,904.5,552.6666666666666
ENSG00000120053,0.05064526243891163,-0.6700655357333426,0.7477611064947045,7.148282702128875e-06,1311.4761904761904,1358.3684210526317,853.3333333333334
ENSG00000171503,0.22010682044341787,-0.6210834526005987,0.18010067751407166,7.204138183581146e-06,1142.095238095238,1330.5,864.7179487179487
ENSG00000116329,0.04553924365093026,-1.0631785728385643,0.8455635894963437,7.758581648202961e-06,178.04761904761904,183.78947368421052,87.43589743589743
ENSG00000247381,0.29723397921959555,-1.034611418961219,0.2084010541321506,7.851578072234093e-06,538.0,661.3157894736842,322.3076923076923
ENSG00000177459,0.0074996871366543,-0.8391682441110019,0.9663166605076267,8.135926056191389e-06,1275.7142857142858,1282.3684210526317,716.3589743589744
ENSG00000183978,0.1602082339977647,-0.644144163892794,0.2876309752895635,8.163344095183404e-06,5715.571428571428,6386.973684210527,4086.4871794871797
ENSG00000173786,0.24477990696369217,-0.5732669388797159,0.10180669393159487,8.920206118408048e-06,920.8095238095239,1091.2631578947369,733.1025641025641
ENSG00000117069,0.22700340771973793,-0.6971149502530986,0.23330279512929017,9.209885241349243e-06,238.57142857142858,279.39473684210526,171.94871794871796
ENSG00000123444,0.21834799366555796,-0.7395302421744575,0.21619508797902412,9.990513219125722e-06,281.9047619047619,328.13157894736844,196.12820512820514
ENSG00000189227,0.11082723825615529,-0.6851846907634365,0.5412880660383294,1.0082295210705093e-05,398.6666666666667,430.57894736842104,267.4102564102564
ENSG00000004059,0.2165247849784022,-0.7096987738705133,0.24364204649178714,1.0158719768373116e-05,729.4761904761905,847.7631578947369,517.974358974359
ENSG00000168411,0.2073389630854293,-0.6042678395154027,0.22019035388129118,1.0667259696582696e-05,269.6666666666667,311.5,204.56410256410257
ENSG00000188938,0.21455293567148387,-0.5280708628196941,0.15265277029714583,1.0985397178961702e-05,721.8571428571429,837.7631578947369,580.6666666666666
ENSG00000163577,0.019101435895234387,-0.6202573592770239,0.8993954428003109,1.1147785055420653e-05,308.14285714285717,312.2631578947368,202.7948717948718
ENSG00000213846,0.3443274798439268,-0.9065721901689369,0.13894435732520724,1.213449906133449e-05,71.23809523809524,90.71052631578948,47.92307692307692
ENSG00000138796,0.18862525523384255,-0.8217649400421414,0.30809299215151054,1.2220332950409334e-05,17307.571428571428,19725.184210526317,11159.076923076924
