ensembl,Variance
ENSG00000115263,1546295894127.9316
ENSG00000108849,769686864621.3827
ENSG00000118271,683625214202.6567
ENSG00000204983,658354093475.9774
ENSG00000251562,217073619309.95215
ENSG00000254647,184417562230.01572
ENSG00000175535,135350999443.91101
ENSG00000153002,111128872617.42981
ENSG00000275896,93141422023.24542
ENSG00000142789,51423476590.42652
ENSG00000121351,34628784917.80599
ENSG00000091704,31596190501.781372
ENSG00000115386,21873098186.606747
ENSG00000157005,11266141960.387444
ENSG00000219073,8286802994.820114
ENSG00000137392,6380947057.067557
ENSG00000158516,3573855812.0234685
ENSG00000169347,3276656395.8276367
ENSG00000120885,2960641538.259513
ENSG00000089199,2943598398.9543185
ENSG00000142615,2705802707.0986557
ENSG00000168925,2457872544.7598534
ENSG00000166710,2400630092.720779
ENSG00000166922,2188266305.435179
ENSG00000162438,2012586288.5372524
ENSG00000168928,1459207606.8331048
ENSG00000170890,1401869527.8203454
ENSG00000164266,1390486627.5828207
ENSG00000087086,1104889864.0573025
ENSG00000243480,947808407.7940308
ENSG00000087460,761057317.2515382
ENSG00000100316,747277400.4022559
ENSG00000164756,622651483.195261
ENSG00000010438,587763327.0628844
ENSG00000109472,409125253.34609246
ENSG00000240038,390100393.8187513
ENSG00000108654,389240924.21690595
ENSG00000079689,360181239.71907043
ENSG00000266200,300325319.050581
ENSG00000172023,291971066.32376385
ENSG00000172016,262443793.72043765
ENSG00000187021,233910030.28628397
ENSG00000104112,206786136.58487123
ENSG00000152254,192765008.63955352
ENSG00000165507,183604643.82091594
ENSG00000197249,173085013.8506493
ENSG00000180879,166775592.72396898
ENSG00000139644,156886640.45124185
ENSG00000171951,155766671.58202323
ENSG00000096384,153250406.99396217
ENSG00000137154,153020750.5764411
ENSG00000197746,150871579.44133052
ENSG00000169903,137251828.8272955
ENSG00000086619,135336438.52346778
ENSG00000156976,131445861.99362038
ENSG00000044574,125372150.29562534
ENSG00000123836,119617619.60833901
ENSG00000165092,115816742.00296198
ENSG00000174748,107626373.09649122
ENSG00000143933,102356775.11870585
ENSG00000132475,102280740.31613122
ENSG00000211445,97217573.35725674
ENSG00000075624,96826637.48701294
ENSG00000179751,96245964.38197766
ENSG00000211592,90661585.033265
ENSG00000006071,90080174.71747558
ENSG00000149273,89425031.64262933
ENSG00000116209,88088281.05730237
ENSG00000150991,86175340.4606972
ENSG00000129538,84582703.48484848
ENSG00000265972,83599389.41524261
ENSG00000145321,80384124.70881745
ENSG00000108953,80351946.97448167
ENSG00000122406,78762061.38573708
ENSG00000138796,74658217.03429024
ENSG00000080824,67761796.24538618
ENSG00000213639,62443549.53258143
ENSG00000011465,61177838.60002277
ENSG00000248527,60055446.508316256
ENSG00000173812,60054263.13032581
ENSG00000184009,59266365.82763727
ENSG00000142534,59045452.92333106
ENSG00000133112,57339012.402255654
ENSG00000109971,55010008.688767396
ENSG00000198034,53717810.03565732
ENSG00000204628,53314574.1641604
ENSG00000092841,50754625.19332422
ENSG00000125851,50198231.83310548
ENSG00000138207,50155415.53030303
ENSG00000145730,48462484.478013225
ENSG00000071082,48452225.245158345
ENSG00000108298,48282272.356003664
ENSG00000162992,48239669.80735929
ENSG00000214548,48232027.97801321
ENSG00000137818,48176708.07644111
ENSG00000198668,46566304.12656641
ENSG00000164587,45244872.46081114
ENSG00000110321,45033916.52779677
ENSG00000170835,44138888.0614035
ENSG00000124193,42779664.85714284
