,Variance
ENSG00000115263,12006298230167.123
ENSG00000204983,2439255755465.1733
ENSG00000254647,1322313531544.7844
ENSG00000115386,565137894526.0072
ENSG00000142789,466091387768.55646
ENSG00000118271,454870910693.17206
ENSG00000168925,312715808945.2155
ENSG00000091704,285519437558.6957
ENSG00000219073,202989639796.23828
ENSG00000168928,196851522124.41177
ENSG00000157005,190234864439.9982
ENSG00000251562,120687084428.72282
ENSG00000184009,97743413695.20627
ENSG00000010438,88814407711.70338
ENSG00000153002,80337006260.88574
ENSG00000198712,68742478300.02457
ENSG00000087086,63182278104.05708
ENSG00000075624,62033460177.90056
ENSG00000142615,33980978367.062798
ENSG00000108849,30134921723.027855
ENSG00000166710,25635039132.10852
ENSG00000198804,24536206102.02856
ENSG00000163359,23572585134.51141
ENSG00000172023,16977648673.221497
ENSG00000100316,15008733013.450987
ENSG00000156508,13420571120.31021
ENSG00000111640,12367768806.842293
ENSG00000137392,6870095600.69384
ENSG00000162438,5766360722.722659
ENSG00000198886,5120623039.7065
ENSG00000149925,4724082707.830413
ENSG00000175535,4561310293.08509
ENSG00000121351,4154865264.130785
ENSG00000198727,4064737810.372025
ENSG00000198938,3953603944.758591
ENSG00000198899,3222538129.8749385
ENSG00000089199,3049331953.391191
ENSG00000120885,2992730434.536599
ENSG00000170890,2854632984.688406
ENSG00000182718,2550697463.0968046
ENSG00000198786,2475727624.3034806
ENSG00000158516,2265504365.2753625
ENSG00000089157,2209627873.103578
ENSG00000105372,1889844608.544007
ENSG00000229117,1887505504.842039
ENSG00000111669,1812562335.3878956
ENSG00000205542,1803168031.3505208
ENSG00000105640,1799635693.9347823
ENSG00000169100,1600543465.2567909
ENSG00000166922,1557293372.6358695
ENSG00000231500,1329987388.97053
ENSG00000164587,1317167948.569091
ENSG00000198763,1161149570.7247186
ENSG00000167552,1104042971.3895643
ENSG00000140264,1082814575.5122347
ENSG00000142541,990155556.3844478
ENSG00000147403,976908543.1697345
ENSG00000150991,972796903.7189984
ENSG00000044574,948665907.9072496
ENSG00000137818,918236343.3677956
ENSG00000074800,894229760.9918128
ENSG00000161016,853580452.4094894
ENSG00000164266,853257189.3894928
ENSG00000125148,821906005.7517209
ENSG00000169715,809056401.6150606
ENSG00000092841,805941585.3762863
ENSG00000197249,776839337.6793479
ENSG00000180879,707173472.6044406
ENSG00000130255,691896119.2371984
ENSG00000215704,653500487.1589534
ENSG00000170315,638081125.1083171
ENSG00000122026,611636225.6625274
ENSG00000187514,598500705.8070852
ENSG00000174748,589405493.569665
ENSG00000197746,581143693.5869565
ENSG00000118785,567573113.3840579
ENSG00000135404,515077977.64524347
ENSG00000137154,505173203.94524765
ENSG00000123416,441888143.5701819
ENSG00000170421,441207950.4946868
ENSG00000169347,440911081.0520897
ENSG00000067225,398048262.51617813
ENSG00000198888,386661199.09372586
ENSG00000196136,371679282.8887065
ENSG00000204628,371404221.4501997
ENSG00000102265,367640183.1576087
ENSG00000142534,351108906.85228914
ENSG00000137731,345861645.54724276
ENSG00000211445,339350416.3025362
ENSG00000197956,326245142.8677536
ENSG00000132475,316117516.6713558
ENSG00000196230,314566231.9763383
ENSG00000149273,298756201.56329554
ENSG00000169903,298358191.02717394
ENSG00000147604,293038695.8796738
ENSG00000008517,288429662.7901558
ENSG00000142089,286163681.6081041
ENSG00000108298,271062249.4753158
ENSG00000112096,255207528.82057804
ENSG00000087460,236514971.5
