,RF,XGB,LGB,ET,Mean
ENSG00000171227,0.00868167312756707,0.01676484,52,0.0040471791330123855,13.007373423092929
ENSG00000135472,0.01790091039719878,0.018588038,49,0.005853215941252098,12.260585541124962
ENSG00000128590,0.003937480460409273,0.023983661,40,0.0023969329260415933,10.007579518617954
ENSG00000172020,0.0,0.019959724,39,0.0005055922724961871,9.75511632896235
ENSG00000165949,0.0031873668259847937,0.005815291,38,0.001565615392064299,9.502642068265995
ENSG00000172016,0.0005091300729426738,0.0014265564,37,0.0012767428029543861,9.250803107314091
ENSG00000132793,0.0016887344506495568,0.00056613184,36,0.001488373641271455,9.000935809983678
ENSG00000136872,0.009173491214287077,0.018215366,34,0.004273715786166039,8.507915643177082
ENSG00000170509,0.013426201123879355,0.0047011576,34,0.0060975724629044855,8.506056232788236
ENSG00000187498,0.0007256165045516899,0.0032560527,33,0.0029101340797756405,8.2517229508292
ENSG00000012817,0.0013293666096202196,0.0021931885,33,0.0017470921723590762,8.251317411827394
ENSG00000163581,0.012413953800660182,0.0021382,28,0.007718298709112972,7.005567613123234
ENSG00000162695,0.0026588520600487804,0.0017344318,28,0.000777035903329303,7.0012925799491015
ENSG00000067048,0.0007841374355970833,0.012163124,22,0.0015736618490812698,5.503630230832975
ENSG00000010282,0.008650108042299128,0.0,20,0.0014663170916029559,5.002529106283475
ENSG00000108849,0.000570852898205005,0.0,20,0.0004598796814099306,5.000257683144904
ENSG00000081181,0.012828711468269591,0.027511852,18,0.005891868071903225,4.511558107850561
ENSG00000122687,0.0007636951094140107,0.0,18,0.000619511411981912,4.500345801630349
ENSG00000139641,0.0012287970653777445,0.012445974,17,0.004875982939400514,4.254637688542122
ENSG00000138650,0.0023794237659508994,0.00089499453,17,0.0013792759779838923,4.251163423569273
ENSG00000219073,0.0014819717968629085,0.0,17,0.00023792577529232342,4.250429974393039
ENSG00000142156,0.006886087476753453,0.0135843055,16,0.000665983523149898,4.005284094133045
ENSG00000096006,0.0,0.0,16,0.000992507976463165,4.000248126994116
ENSG00000134285,0.006657144272686646,0.0018464918,15,0.0019243011718207282,3.7526069843173357
ENSG00000137077,0.0018137326929859858,0.00075374905,15,0.0006457770749839892,3.7508033147033784
ENSG00000074800,0.002557968336938568,0.043098584,12,0.0026023143587410214,3.0120647166282906
ENSG00000198692,0.0020038754545469144,0.0,12,0.0018350712422804383,3.000959736674207
ENSG00000124802,0.0017026528492492322,0.01651214,11,0.0007367998821310816,2.7547378983407644
ENSG00000234745,0.00146214230461824,0.0003204402,11,0.0013333737921661893,2.750778989071034
ENSG00000130332,0.0013981674803244589,0.0009533297,11,0.0002907981698017285,2.750660573844295
ENSG00000014919,0.0009185875330775072,0.0,11,0.0005626052420687483,2.7503702981937863
ENSG00000072501,0.0,0.0,11,0.0009046025105201204,2.75022615062763
ENSG00000050165,0.009061166364255014,0.016926572,10,0.0037069673323875006,2.5074236763558604
ENSG00000129824,0.0019263063231249472,0.019748528,10,0.0008525673614641586,2.5056318503103117
ENSG00000124205,0.0037469544616982376,0.0,10,0.0015470306246312163,2.5013234962715822
ENSG00000102837,0.003155823378775316,8.571729e-05,10,0.0014047824880092513,2.5011615807898653
ENSG00000150625,0.0033922873121322934,0.0,10,0.0005629830703304342,2.500988817595616
ENSG00000185559,0.0004290517021468125,0.0006653402,10,0.0,2.500273597981374
ENSG00000147003,0.007247906296867573,0.001407235,9,0.004434856510821946,2.2532724994634017
ENSG00000135447,0.0037649404469045755,0.0052747945,9,0.002109858801605877,2.2527873984446587
ENSG00000196562,0.005207791907163268,0.0014893382,9,0.0010007223289854443,2.251924463117088
ENSG00000138670,0.001089140038988114,0.00070824247,9,0.003151681459606868,2.2512372659923647
ENSG00000087053,0.00043591654247391947,0.0,9,0.0012437002811136546,2.2504199042058968
ENSG00000166136,0.0,0.0,9,0.0004028372915002299,2.250100709322875
ENSG00000108389,0.0025645784319160408,0.002418059,8,0.0007773518607931585,2.001439997304271
ENSG00000090104,0.0005433607405934634,0.0,8,0.0006719200135570243,2.0003038201885377
ENSG00000136531,0.001394340738236559,0.014635591,7,0.0011053786892621406,1.754283827565976
ENSG00000122585,0.0014053267213514449,0.009360631,7,0.002447895010479118,1.753303463182089
ENSG00000138079,0.0002558775287042099,0.011123358,7,0.0012119626753328888,1.7531477996190132
ENSG00000148053,0.0023423967813189723,0.0009982539,7,0.002152196704074824,1.7513732118548697
ENSG00000247381,0.00017269736842105262,0.0025196315,7,0.0016110041239528312,1.751075833254469
ENSG00000160862,0.00018243480294702377,0.0017502815,7,0.0009415391844217469,1.7507185638834084
ENSG00000197771,0.00018734041194995332,0.00078820984,7,0.0018111945036830654,1.7506966861897706
ENSG00000070159,0.0012200847289943384,0.0,7,0.0005934637354864582,1.7504533871161203
ENSG00000132326,0.0005037312479780753,0.00045847986,7,0.0007747993583841522,1.7504342526163241
ENSG00000172954,0.000652447538800616,0.0,7,0.0007092514861007488,1.7503404247562253
ENSG00000099622,0.0,0.0,7,0.0010367104199791686,1.7502591776049947
ENSG00000130300,0.0015596288054851274,0.0063963025,6,0.002015724994505134,1.502492914071923
ENSG00000171681,0.0021299973468212165,0.0013738796,6,0.0034147043525833425,1.5017296453277242
ENSG00000157017,0.0012884308263771676,0.0014541649,6,0.0010875963131936697,1.500957547998921
ENSG00000146731,0.0026102399475321325,0.0,6,0.0010478047888685474,1.5009145111841
ENSG00000148180,0.0019294885896008233,0.0,6,0.001704302380251595,1.500908447742463
ENSG00000171724,0.0028625291497129516,0.0,6,0.0003516958384777398,1.5008035562470476
ENSG00000132669,0.0020332689739964607,0.0,6,0.00025905112934853665,1.5005730800258363
ENSG00000152684,0.0018754720820876303,0.0,6,0.0003630722850236126,1.5005596360917777
ENSG00000162545,0.0,0.00028345358,6,0.0009642519570547875,1.5003119263853677
ENSG00000231389,0.00017401835798062216,0.0,6,0.0007722674123029995,1.500236571442571
ENSG00000101605,0.003033766851379392,0.005986141,5,0.002785022399134281,1.2529512325728587
ENSG00000169359,0.004380441075415317,0.0010288572,5,0.0013502653362321582,1.2516898909013838
ENSG00000198729,0.0013349852147099958,0.002299086,5,0.0014259810685840171,1.2512650130603058
ENSG00000087245,0.0035826261341504297,0.0,5,0.0014553700905903552,1.2512594990561852
ENSG00000215021,0.00037615740740740746,0.0019284115,5,0.0009033535661649538,1.2508019806285369
ENSG00000160563,0.0017715040082584982,0.0,5,0.0011670055922724963,1.2507346274001327
ENSG00000180440,0.0006413858075357285,0.0,5,0.0014272038482167377,1.2505171474139383
ENSG00000211892,0.00025174825174825174,0.0,5,0.0013201576004067109,1.2503929764630386
ENSG00000167272,0.0006892657758097466,0.0,5,0.0008208849458381205,1.250377537680412
ENSG00000211592,0.00035143231968459113,0.0,5,0.0007500090783644419,1.2502753603495123
ENSG00000008513,0.0002368421052631579,0.0,5,0.000820362060962401,1.2502643010415564
ENSG00000196739,0.0007634842025889604,0.010310647,4,0.0012056062153104528,1.0030699343739395
ENSG00000124762,0.005154371297157916,0.001649501,4,0.0032871638889981113,1.0025227590552863
ENSG00000105467,0.005316179928459516,0.0,4,0.0033372663363677667,1.0021633615662067
ENSG00000135744,0.002425741379098269,0.0018570735,4,0.0023666539241656574,1.001662367203798
ENSG00000174567,0.0039989719316399705,0.0,4,0.00214690576327587,1.001536469423729
ENSG00000109062,0.0016833355995471285,0.000443228,4,0.00031723436705643115,1.0006109494907969
ENSG00000156687,0.0011360801896516184,0.0,4,0.0012252156246587826,1.0005903239535776
ENSG00000213088,0.0005060586383313658,0.0,4,0.0016546671740025115,1.0005401814530834
ENSG00000189058,0.0011815559441703688,0.0,4,0.0009087442806304017,1.0005225750562003
ENSG00000187021,0.0009322866776311946,0.0,4,0.0011446093241848521,1.0005192240004541
ENSG00000152254,0.0004591836734693878,0.0,4,0.0015510459556688052,1.0005025574072846
ENSG00000176046,0.00014984631147540984,0.0,4,0.0018143007219156614,1.0004910367583477
ENSG00000198157,0.0,0.0012093089,4,0.0006536479360427444,1.0004657391987508
ENSG00000168792,0.0003256763151063008,0.0,4,0.0007380105066937806,1.00026592170545
ENSG00000165195,0.0024833128116879192,0.025811423,3,0.00422781350588745,0.7581306372334546
ENSG00000121351,0.0009375890352415185,0.01201879,3,0.0013845502264431928,0.753585232199734
ENSG00000145860,0.0005413802221047065,0.0071064103,3,0.001797881152973744,0.7523614179286382
ENSG00000174917,0.003745864213056713,0.0014254177,3,0.0013411781800197046,0.7516281150288198
ENSG00000204525,0.0028459617253598518,0.0020292515,3,0.0014576941956068229,0.7515832268652617
ENSG00000159248,0.0007097007423787619,0.0026891965,3,0.0008510811159247196,0.7510624945884107
ENSG00000080493,0.0017172238903116874,0.0011159463,3,0.0013786047685359149,0.7510529437477101
ENSG00000118495,0.0005426256262585742,0.0025521629,3,0.0010770766069550701,0.7510429662722693
ENSG00000128052,0.0031695495333444574,0.0,3,0.0009815047359777338,0.7510377635673305
ENSG00000044574,0.0014245741310452559,0.0,3,0.0018826860263693004,0.7508268150393537
ENSG00000158747,0.0019133177860109882,0.0006855647,3,0.00031039173387927845,0.7507273185569637
ENSG00000214253,0.000251207729468599,0.0011290226,3,0.0013552001842471056,0.7506838576200794
ENSG00000251504,0.001705241243949502,0.0,3,0.0006829986793142876,0.7505970599808159
ENSG00000112715,0.0006780477923689591,0.0,3,0.00140651394478001,0.7505211404342872
ENSG00000164266,0.0012194413821431365,0.0,3,0.0005093338328670697,0.7504321938037526
ENSG00000131467,0.0011825632368034846,0.0,3,0.0004599008642602947,0.7504106160252659
ENSG00000123612,0.0005897347164393169,0.0,3,0.0010450680124493158,0.7504087006822222
ENSG00000185070,0.0,0.00039162266,3,0.0011484403369888885,0.7503850157482534
ENSG00000106538,0.0006853631199872883,0.0,3,0.000637863823950803,0.7503308067359845
ENSG00000101856,0.0,0.0,3,0.0010743840866913772,0.7502685960216728
ENSG00000170099,0.0008832190248396632,0.01806074,2,0.0005053727411378655,0.5048623329623584
ENSG00000143954,0.001170971689085921,0.009951581,2,0.0005796687002203014,0.5029255554091142
ENSG00000123384,0.0018066765041921898,0.003240489,2,0.0010725294377429608,0.5015299237192993
ENSG00000166147,0.004218243972491099,0.0014152083,2,0.0004339548986854529,0.5015168518006214
ENSG00000133392,0.001125800224299691,0.0024069073,2,0.0007042178081196892,0.501059231325072
ENSG00000127022,0.0016213570751454826,0.0,2,0.0016574562449113755,0.5008197033300142
ENSG00000001626,0.0011458450323655798,0.00063712726,2,0.0014527225559381822,0.5008089237123617
ENSG00000204983,0.00201520868305459,0.0,2,0.0008469646614967395,0.5007155433361378
ENSG00000170906,0.002091363913985178,0.0,2,0.00075510534203976,0.5007116173140063
