Model,Accuracy,F1-Micro,F1-Macro,F1-Weighted,MCC,Kappa,ROC-AUC,Train_Acc,Test_Acc,Overfit
Logistic Regression,0.75,0.75,0.7135531135531137,0.741978021978022,0.6375982524533231,0.6031746031746031,0.8333333333333334,1.0,0.75,0.25
Extra Trees,0.75,0.75,0.673015873015873,0.7276190476190476,0.6461623427559643,0.5901639344262295,0.8338541666666666,1.0,0.75,0.25
Decision Tree,0.7,0.7,0.5333333333333333,0.64,0.5399680860760037,0.5081967213114753,0.9041666666666668,1.0,0.7,0.30000000000000004
K-Nearest Neighbors,0.7,0.7,0.6321678321678322,0.6786013986013987,0.5808870589717926,0.5081967213114753,0.8265625,0.717948717948718,0.7,0.017948717948717996
XGBoost,0.65,0.65,0.4988344988344989,0.5986013986013987,0.4871955978473099,0.42622950819672123,0.8875,1.0,0.65,0.35
Random Forest (Tuned),0.65,0.65,0.4805194805194805,0.5766233766233766,0.4821979686315372,0.41666666666666663,0.8692708333333332,1.0,0.65,0.35
Voting Ensemble,0.65,0.65,0.4988344988344989,0.5986013986013987,0.4871955978473099,0.42622950819672123,0.8604166666666666,1.0,0.65,0.35
LightGBM,0.65,0.65,0.4920634920634921,0.5904761904761905,0.46667280310152975,0.42622950819672134,0.9166666666666667,1.0,0.65,0.35
Stacking Ensemble,0.65,0.65,0.4988344988344989,0.5986013986013987,0.4871955978473099,0.42622950819672123,0.871875,1.0,0.65,0.35
Naive Bayes,0.45,0.45,0.3356643356643357,0.4027972027972028,0.11242975334937921,0.09836065573770492,0.6234375,0.782051282051282,0.45,0.33205128205128204
