gene,importance
ENSG00000231245,0.04728912
ENSG00000074800,0.044246357
ENSG00000226017,0.04052548
ENSG00000168843,0.032382976
ENSG00000158122,0.02969818
ENSG00000205231,0.025690703
ENSG00000116679,0.024922946
ENSG00000233170,0.023741556
ENSG00000161654,0.023605742
ENSG00000139620,0.022629606
ENSG00000204347,0.022485737
ENSG00000119973,0.02128901
ENSG00000163581,0.020040905
ENSG00000198830,0.019467833
ENSG00000165325,0.019222789
ENSG00000137809,0.018973185
ENSG00000284653,0.018604368
ENSG00000148773,0.017864654
ENSG00000248712,0.013683554
ENSG00000258490,0.012751564
ENSG00000050165,0.012433141
ENSG00000171227,0.012273389
ENSG00000232661,0.0117416205
ENSG00000102239,0.01135123
ENSG00000106128,0.011051105
ENSG00000255670,0.010358094
ENSG00000249751,0.009643379
ENSG00000183484,0.009177034
ENSG00000236963,0.008891591
ENSG00000105894,0.007813465
ENSG00000229880,0.007532336
ENSG00000162377,0.0074296473
ENSG00000155011,0.0072688404
ENSG00000072274,0.00701979
ENSG00000138792,0.006667355
ENSG00000131378,0.006610917
ENSG00000211592,0.006568953
ENSG00000111644,0.0063403985
ENSG00000151834,0.0060752947
ENSG00000138622,0.0060501867
ENSG00000172016,0.005964604
ENSG00000226454,0.005756823
ENSG00000244734,0.0057153725
ENSG00000279233,0.005668899
ENSG00000128590,0.005617163
ENSG00000165195,0.0055466956
ENSG00000165125,0.005536338
ENSG00000249856,0.0054023834
ENSG00000089006,0.0053685997
ENSG00000039068,0.005273832
ENSG00000224863,0.0050266753
ENSG00000115268,0.005022888
ENSG00000127578,0.0049478207
ENSG00000269397,0.0048579006
ENSG00000260257,0.0048066364
ENSG00000074660,0.004616102
ENSG00000169045,0.004500188
ENSG00000151468,0.0044117197
ENSG00000256721,0.004344509
ENSG00000256377,0.0043346123
ENSG00000135447,0.004288219
ENSG00000207325,0.004265914
ENSG00000130338,0.004226646
ENSG00000091137,0.004226023
ENSG00000114978,0.0040773414
ENSG00000205277,0.00404303
ENSG00000121351,0.0039804187
ENSG00000204388,0.003936492
ENSG00000071909,0.0038956439
ENSG00000165409,0.0038864175
ENSG00000229807,0.0038484454
ENSG00000132964,0.0036839389
ENSG00000069424,0.003659453
ENSG00000058262,0.0036216537
ENSG00000260086,0.003487488
ENSG00000272551,0.00341042
ENSG00000263015,0.0032523847
ENSG00000111262,0.0032448042
ENSG00000091831,0.0031566063
ENSG00000155760,0.003105315
ENSG00000162949,0.0030799743
ENSG00000106049,0.003076986
ENSG00000197888,0.0030507806
ENSG00000162368,0.0030484274
ENSG00000223394,0.0030316222
ENSG00000228643,0.0030101163
ENSG00000161281,0.0028093033
ENSG00000138823,0.0027908147
ENSG00000163710,0.0027044034
ENSG00000253621,0.0026381859
ENSG00000163577,0.0025975704
ENSG00000258649,0.0024769604
ENSG00000198022,0.0024416167
ENSG00000177359,0.0023074707
ENSG00000284676,0.0022880705
ENSG00000155657,0.0022279879
ENSG00000120963,0.0022270412
ENSG00000224237,0.002216983
ENSG00000279180,0.002208113
ENSG00000127870,0.0021426545
ENSG00000130595,0.0021314553
ENSG00000147003,0.0021047776
ENSG00000236047,0.0021029597
ENSG00000180914,0.002005211
ENSG00000251003,0.001968267
ENSG00000137261,0.0019471481
ENSG00000122585,0.001933966
ENSG00000177551,0.0018277662
ENSG00000170509,0.0017789654
ENSG00000161649,0.0016553387
ENSG00000186480,0.0016313607
ENSG00000215301,0.0016204725
ENSG00000188994,0.0014758209
ENSG00000174326,0.0014337391
ENSG00000137673,0.0014123671
ENSG00000006576,0.0013963971
ENSG00000272430,0.0012818757
ENSG00000177459,0.0012782871
ENSG00000096088,0.0012586988
ENSG00000261336,0.0012039862
ENSG00000136872,0.001179648
ENSG00000197181,0.0011572798
ENSG00000242110,0.0011428162
ENSG00000273314,0.0011391136
ENSG00000163803,0.0011351735
ENSG00000132938,0.0011265167
ENSG00000128683,0.0011156892
ENSG00000138670,0.001097613
ENSG00000013293,0.0010952514
ENSG00000131871,0.0010852929
ENSG00000111640,0.0010815295
ENSG00000198930,0.001076428
ENSG00000015520,0.0010114856
ENSG00000116833,0.000987803
ENSG00000123560,0.0009838208
ENSG00000126603,0.00096102426
ENSG00000231013,0.0009320532
ENSG00000206417,0.00093171676
ENSG00000197769,0.00091374386
ENSG00000232629,0.00089620904
ENSG00000106133,0.00089410885
ENSG00000117691,0.00088597805
ENSG00000167034,0.0008822451
ENSG00000261773,0.00086787035
ENSG00000149735,0.00084225234
ENSG00000226823,0.00082184444
ENSG00000206503,0.00080764544
ENSG00000196975,0.0007939769
ENSG00000239951,0.00079176883
ENSG00000224431,0.00078493124
ENSG00000081181,0.0007780392
ENSG00000220660,0.0007704216
ENSG00000154734,0.0007588701
ENSG00000198692,0.0007533165
ENSG00000080493,0.0007472237
ENSG00000136943,0.00073531637
ENSG00000096060,0.00072859594
ENSG00000162571,0.00072539435
ENSG00000273416,0.00071637036
ENSG00000253591,0.0007162087
ENSG00000153827,0.0007088924
ENSG00000135636,0.00070582744
ENSG00000164733,0.00070315966
ENSG00000173226,0.00069274794
ENSG00000164023,0.0006909683
ENSG00000228539,0.00069091184
ENSG00000164326,0.0006800546
ENSG00000119138,0.00067162566
ENSG00000114374,0.00066929945
ENSG00000144837,0.0006462569
ENSG00000135472,0.00063524523
ENSG00000010282,0.0005933688
ENSG00000269821,0.0005875518
ENSG00000090615,0.0005832695
ENSG00000232445,0.00057320745
ENSG00000148123,0.0005682959
ENSG00000148346,0.0005584577
ENSG00000198000,0.00055137626
ENSG00000105696,0.0005487617
ENSG00000196611,0.00054795935
ENSG00000021852,0.0005427113
ENSG00000001626,0.0005367112
ENSG00000207086,0.00053590693
ENSG00000275832,0.0005221873
ENSG00000198408,0.0005200626
ENSG00000269921,0.0005099356
ENSG00000106780,0.0005077104
ENSG00000025800,0.00049776357
ENSG00000091583,0.00048058332
ENSG00000265666,0.00044075708
ENSG00000240889,0.0004391108
ENSG00000109062,0.00043508623
ENSG00000165023,0.000408833
ENSG00000134042,0.00040869904
ENSG00000225833,0.0003905195
ENSG00000163106,0.00038474723
ENSG00000178473,0.00037022715
ENSG00000256814,0.00036711653
ENSG00000077684,0.00036562374
ENSG00000180616,0.00035826993
ENSG00000139626,0.00035676756
ENSG00000227589,0.0003482079
ENSG00000105854,0.00033446736
ENSG00000265451,0.0003231652
ENSG00000171819,0.00031908674
ENSG00000151883,0.00031315722
ENSG00000116521,0.00031259202
ENSG00000138131,0.00030654666
ENSG00000115109,0.00027897887
ENSG00000229407,0.00025866515
ENSG00000184226,0.0002579339
ENSG00000198682,0.00025506562
ENSG00000146476,0.00025196467
ENSG00000149596,0.0002425164
ENSG00000138079,0.00023130936
ENSG00000180745,0.00023070877
ENSG00000127125,0.0002223282
ENSG00000182632,0.00022188308
ENSG00000091128,0.00018573915
ENSG00000166557,0.00018118622
ENSG00000211892,0.00017927482
ENSG00000213339,0.00013980664
ENSG00000186908,0.000103586404
ENSG00000175040,8.688688e-05
ENSG00000205571,7.35622e-05
ENSG00000204993,7.245848e-05
ENSG00000161267,6.280999e-05
ENSG00000131374,4.5645957e-05
ENSG00000163956,4.39655e-05
ENSG00000136040,1.26907535e-05
ENSG00000149357,1.019158e-05
ENSG00000213658,0.0
ENSG00000128253,0.0
ENSG00000253882,0.0
ENSG00000143248,0.0
ENSG00000256004,0.0
ENSG00000263279,0.0
ENSG00000163364,0.0
ENSG00000255829,0.0
ENSG00000065320,0.0
ENSG00000264808,0.0
ENSG00000276170,0.0
ENSG00000146072,0.0
ENSG00000196517,0.0
ENSG00000152254,0.0
ENSG00000129646,0.0
ENSG00000170044,0.0
ENSG00000176771,0.0
ENSG00000246523,0.0
ENSG00000134323,0.0
ENSG00000087085,0.0
ENSG00000166387,0.0
ENSG00000231106,0.0
ENSG00000182963,0.0
ENSG00000199488,0.0
ENSG00000180785,0.0
ENSG00000143549,0.0
ENSG00000213846,0.0
ENSG00000204787,0.0
ENSG00000121068,0.0
ENSG00000180219,0.0
ENSG00000172156,0.0
ENSG00000171724,0.0
ENSG00000277837,0.0
ENSG00000183654,0.0
ENSG00000214108,0.0
ENSG00000185269,0.0
ENSG00000213694,0.0
ENSG00000186105,0.0
ENSG00000234352,0.0
ENSG00000134817,0.0
ENSG00000150625,0.0
ENSG00000154269,0.0
ENSG00000248636,0.0
ENSG00000164683,0.0
ENSG00000258626,0.0
ENSG00000165949,0.0
ENSG00000203883,0.0
ENSG00000149489,0.0
ENSG00000261373,0.0
ENSG00000185742,0.0
ENSG00000162621,0.0
ENSG00000172023,0.0
ENSG00000278035,0.0
ENSG00000166148,0.0
ENSG00000223956,0.0
ENSG00000180875,0.0
ENSG00000254620,0.0
ENSG00000187513,0.0
ENSG00000138796,0.0
ENSG00000232604,0.0
ENSG00000069702,0.0
ENSG00000158825,0.0
ENSG00000175745,0.0
ENSG00000259929,0.0
ENSG00000243715,0.0
ENSG00000144120,0.0
ENSG00000256196,0.0
ENSG00000187955,0.0
ENSG00000130830,0.0
ENSG00000253967,0.0
ENSG00000166111,0.0
ENSG00000187783,0.0
ENSG00000051341,0.0
ENSG00000002919,0.0
ENSG00000267454,0.0
ENSG00000196177,0.0
ENSG00000108387,0.0
ENSG00000144057,0.0
ENSG00000211893,0.0
ENSG00000147145,0.0
ENSG00000138161,0.0
ENSG00000172568,0.0
ENSG00000136928,0.0
ENSG00000116690,0.0
ENSG00000158089,0.0
ENSG00000187498,0.0
ENSG00000131055,0.0
ENSG00000225756,0.0
ENSG00000279294,0.0
ENSG00000261468,0.0
ENSG00000162461,0.0
ENSG00000125780,0.0
ENSG00000266952,0.0
ENSG00000232373,0.0
ENSG00000265485,0.0
ENSG00000131477,0.0
ENSG00000087086,0.0
ENSG00000269343,0.0
ENSG00000106331,0.0
ENSG00000123444,0.0
ENSG00000263745,0.0
ENSG00000161381,0.0
ENSG00000143954,0.0
ENSG00000182853,0.0
ENSG00000258450,0.0
ENSG00000156687,0.0
ENSG00000216775,0.0
ENSG00000085117,0.0
ENSG00000186197,0.0
ENSG00000183439,0.0
ENSG00000139194,0.0
ENSG00000227082,0.0
ENSG00000125968,0.0
ENSG00000118523,0.0
ENSG00000185885,0.0
ENSG00000113552,0.0
ENSG00000248632,0.0
ENSG00000278090,0.0
ENSG00000226770,0.0
ENSG00000139567,0.0
ENSG00000283544,0.0
ENSG00000249159,0.0
ENSG00000265752,0.0
ENSG00000173546,0.0
ENSG00000074181,0.0
ENSG00000249690,0.0
ENSG00000279355,0.0
ENSG00000096696,0.0
ENSG00000154065,0.0
ENSG00000010319,0.0
ENSG00000004059,0.0
ENSG00000135604,0.0
ENSG00000164035,0.0
ENSG00000117069,0.0
ENSG00000251095,0.0
ENSG00000255326,0.0
ENSG00000255222,0.0
ENSG00000134871,0.0
ENSG00000162444,0.0
ENSG00000057704,0.0
ENSG00000108622,0.0
ENSG00000113721,0.0
ENSG00000254647,0.0
ENSG00000211897,0.0
ENSG00000156234,0.0
ENSG00000211649,0.0
ENSG00000100097,0.0
ENSG00000169607,0.0
ENSG00000079689,0.0
ENSG00000272948,0.0
ENSG00000140451,0.0
ENSG00000109107,0.0
ENSG00000120053,0.0
ENSG00000198873,0.0
ENSG00000278926,0.0
ENSG00000176435,0.0
ENSG00000131473,0.0
ENSG00000189227,0.0
ENSG00000115523,0.0
ENSG00000120279,0.0
ENSG00000127241,0.0
ENSG00000228536,0.0
ENSG00000177674,0.0
ENSG00000150048,0.0
ENSG00000198739,0.0
ENSG00000167378,0.0
ENSG00000198768,0.0
ENSG00000265107,0.0
ENSG00000139641,0.0
ENSG00000140968,0.0
ENSG00000174840,0.0
ENSG00000257219,0.0
ENSG00000270587,0.0
ENSG00000186675,0.0
ENSG00000153767,0.0
ENSG00000174456,0.0
ENSG00000164736,0.0
ENSG00000118292,0.0
ENSG00000177707,0.0
ENSG00000197894,0.0
ENSG00000198523,0.0
ENSG00000167393,0.0
ENSG00000117461,0.0
ENSG00000268189,0.0
ENSG00000253457,0.0
ENSG00000179776,0.0
ENSG00000109991,0.0
ENSG00000267424,0.0
ENSG00000156795,0.0
ENSG00000147378,0.0
ENSG00000185585,0.0
ENSG00000129214,0.0
ENSG00000183978,0.0
ENSG00000166963,0.0
ENSG00000233613,0.0
ENSG00000069122,0.0
ENSG00000145907,0.0
ENSG00000065325,0.0
ENSG00000111674,0.0
ENSG00000196739,0.0
ENSG00000121039,0.0
ENSG00000211650,0.0
ENSG00000131471,0.0
ENSG00000100302,0.0
ENSG00000134508,0.0
ENSG00000099998,0.0
ENSG00000105143,0.0
ENSG00000096092,0.0
ENSG00000128052,0.0
ENSG00000279799,0.0
ENSG00000215887,0.0
ENSG00000002746,0.0
ENSG00000171503,0.0
ENSG00000254093,0.0
ENSG00000169594,0.0
ENSG00000140488,0.0
ENSG00000124762,0.0
ENSG00000262484,0.0
ENSG00000233101,0.0
ENSG00000258045,0.0
ENSG00000185670,0.0
ENSG00000271275,0.0
ENSG00000230968,0.0
ENSG00000279685,0.0
ENSG00000198160,0.0
ENSG00000279022,0.0
ENSG00000124731,0.0
ENSG00000121005,0.0
ENSG00000183283,0.0
ENSG00000254440,0.0
ENSG00000111669,0.0
ENSG00000204583,0.0
ENSG00000239789,0.0
ENSG00000147113,0.0
ENSG00000255587,0.0
ENSG00000280650,0.0
ENSG00000273768,0.0
ENSG00000237181,0.0
ENSG00000168824,0.0
ENSG00000197245,0.0
ENSG00000258285,0.0
ENSG00000122952,0.0
ENSG00000235619,0.0
ENSG00000273321,0.0
ENSG00000261555,0.0
ENSG00000249691,0.0
ENSG00000275734,0.0
ENSG00000033867,0.0
ENSG00000233098,0.0
ENSG00000149564,0.0
ENSG00000142552,0.0
ENSG00000283959,0.0
ENSG00000257951,0.0
ENSG00000172889,0.0
ENSG00000157570,0.0
ENSG00000145861,0.0
ENSG00000111348,0.0
ENSG00000261189,0.0
ENSG00000145423,0.0
ENSG00000233208,0.0
ENSG00000050030,0.0
ENSG00000159958,0.0
ENSG00000142748,0.0
ENSG00000246820,0.0
ENSG00000230873,0.0
ENSG00000174156,0.0
ENSG00000087237,0.0
ENSG00000106018,0.0
ENSG00000213090,0.0
ENSG00000260412,0.0
ENSG00000130052,0.0
ENSG00000124713,0.0
ENSG00000196562,0.0
ENSG00000248880,0.0
ENSG00000113140,0.0
ENSG00000102804,0.0
ENSG00000235050,0.0
ENSG00000170619,0.0
ENSG00000118804,0.0
ENSG00000114573,0.0
ENSG00000088367,0.0
ENSG00000174992,0.0
ENSG00000160563,0.0
ENSG00000112902,0.0
ENSG00000130300,0.0
ENSG00000235823,0.0
ENSG00000168411,0.0
ENSG00000213561,0.0
ENSG00000203760,0.0
ENSG00000149534,0.0
ENSG00000138180,0.0
ENSG00000140284,0.0
ENSG00000100311,0.0
ENSG00000140287,0.0
ENSG00000172236,0.0
ENSG00000251381,0.0
ENSG00000157330,0.0
ENSG00000092009,0.0
ENSG00000078596,0.0
ENSG00000047648,0.0
ENSG00000102362,0.0
ENSG00000243069,0.0
ENSG00000187753,0.0
ENSG00000231158,0.0
ENSG00000006638,0.0
ENSG00000252329,0.0
ENSG00000279525,0.0
ENSG00000196503,0.0
ENSG00000245975,0.0
ENSG00000095209,0.0
ENSG00000248527,0.0
ENSG00000132688,0.0
ENSG00000224982,0.0
ENSG00000230970,0.0
ENSG00000137225,0.0
ENSG00000167992,0.0
ENSG00000168899,0.0
ENSG00000234675,0.0
ENSG00000143401,0.0
ENSG00000185873,0.0
ENSG00000110852,0.0
ENSG00000168913,0.0
ENSG00000282757,0.0
ENSG00000166908,0.0
ENSG00000116962,0.0
ENSG00000169174,0.0
ENSG00000104419,0.0
ENSG00000127824,0.0
ENSG00000203985,0.0
ENSG00000151360,0.0
ENSG00000126953,0.0
ENSG00000259383,0.0
ENSG00000173786,0.0
ENSG00000107295,0.0
ENSG00000100744,0.0
ENSG00000259370,0.0
ENSG00000248859,0.0
ENSG00000136859,0.0
ENSG00000011201,0.0
ENSG00000162757,0.0
ENSG00000127329,0.0
ENSG00000178033,0.0
ENSG00000100220,0.0
ENSG00000141404,0.0
ENSG00000153832,0.0
ENSG00000135778,0.0
ENSG00000188153,0.0
ENSG00000170827,0.0
ENSG00000185787,0.0
ENSG00000253426,0.0
ENSG00000162367,0.0
ENSG00000197061,0.0
ENSG00000156869,0.0
ENSG00000163209,0.0
ENSG00000274775,0.0
ENSG00000156802,0.0
ENSG00000173641,0.0
ENSG00000177363,0.0
ENSG00000243083,0.0
ENSG00000278979,0.0
ENSG00000154096,0.0
ENSG00000280025,0.0
ENSG00000227848,0.0
ENSG00000184661,0.0
ENSG00000101335,0.0
ENSG00000259017,0.0
ENSG00000187678,0.0
ENSG00000188176,0.0
ENSG00000240002,0.0
ENSG00000181374,0.0
ENSG00000254290,0.0
ENSG00000283537,0.0
ENSG00000179144,0.0
ENSG00000100167,0.0
ENSG00000174059,0.0
ENSG00000090889,0.0
ENSG00000179066,0.0
ENSG00000132603,0.0
ENSG00000230519,0.0
ENSG00000111335,0.0
ENSG00000134057,0.0
ENSG00000224228,0.0
ENSG00000154645,0.0
ENSG00000255065,0.0
ENSG00000125810,0.0
ENSG00000196341,0.0
ENSG00000164692,0.0
ENSG00000177989,0.0
ENSG00000253911,0.0
ENSG00000124641,0.0
ENSG00000188042,0.0
ENSG00000175879,0.0
ENSG00000176343,0.0
ENSG00000120057,0.0
ENSG00000259236,0.0
ENSG00000141433,0.0
ENSG00000230489,0.0
ENSG00000168078,0.0
ENSG00000204301,0.0
ENSG00000251061,0.0
ENSG00000163291,0.0
ENSG00000254556,0.0
ENSG00000065618,0.0
ENSG00000184979,0.0
ENSG00000155307,0.0
ENSG00000277453,0.0
ENSG00000162654,0.0
ENSG00000102755,0.0
ENSG00000060656,0.0
ENSG00000165449,0.0
ENSG00000121964,0.0
ENSG00000144229,0.0
ENSG00000279271,0.0
ENSG00000122679,0.0
ENSG00000158352,0.0
ENSG00000176124,0.0
ENSG00000273325,0.0
ENSG00000221887,0.0
ENSG00000197933,0.0
ENSG00000198729,0.0
ENSG00000284616,0.0
ENSG00000228812,0.0
ENSG00000184530,0.0
ENSG00000152578,0.0
ENSG00000205497,0.0
ENSG00000110074,0.0
ENSG00000257588,0.0
ENSG00000140945,0.0
ENSG00000272406,0.0
ENSG00000267102,0.0
ENSG00000117877,0.0
ENSG00000182492,0.0
ENSG00000211896,0.0
ENSG00000211448,0.0
ENSG00000268941,0.0
ENSG00000006606,0.0
ENSG00000181856,0.0
ENSG00000131203,0.0
ENSG00000264365,0.0
ENSG00000147416,0.0
ENSG00000233963,0.0
ENSG00000143067,0.0
ENSG00000235967,0.0
ENSG00000165633,0.0
ENSG00000203837,0.0
ENSG00000115468,0.0
ENSG00000234694,0.0
ENSG00000237953,0.0
ENSG00000170891,0.0
ENSG00000244953,0.0
ENSG00000101367,0.0
ENSG00000170577,0.0
ENSG00000267279,0.0
ENSG00000272092,0.0
ENSG00000154783,0.0
ENSG00000129675,0.0
ENSG00000124444,0.0
ENSG00000111145,0.0
ENSG00000168032,0.0
ENSG00000229770,0.0
ENSG00000177469,0.0
ENSG00000228401,0.0
ENSG00000250266,0.0
ENSG00000156049,0.0
ENSG00000088320,0.0
ENSG00000174145,0.0
ENSG00000130303,0.0
ENSG00000269994,0.0
ENSG00000264107,0.0
ENSG00000158457,0.0
ENSG00000260420,0.0
ENSG00000177464,0.0
ENSG00000141198,0.0
ENSG00000077943,0.0
ENSG00000271780,0.0
ENSG00000105137,0.0
ENSG00000273001,0.0
ENSG00000100316,0.0
ENSG00000179954,0.0
ENSG00000204572,0.0
ENSG00000104321,0.0
ENSG00000279198,0.0
ENSG00000240694,0.0
ENSG00000100225,0.0
ENSG00000081189,0.0
ENSG00000140937,0.0
ENSG00000198125,0.0
ENSG00000174827,0.0
ENSG00000178795,0.0
ENSG00000139329,0.0
ENSG00000185201,0.0
ENSG00000159713,0.0
ENSG00000271943,0.0
ENSG00000164107,0.0
ENSG00000274244,0.0
ENSG00000235020,0.0
ENSG00000108823,0.0
ENSG00000196169,0.0
ENSG00000235920,0.0
ENSG00000123416,0.0
ENSG00000228106,0.0
ENSG00000145284,0.0
ENSG00000168077,0.0
ENSG00000019505,0.0
ENSG00000188938,0.0
ENSG00000120278,0.0
ENSG00000171943,0.0
ENSG00000267107,0.0
ENSG00000277449,0.0
ENSG00000242370,0.0
ENSG00000272173,0.0
ENSG00000146386,0.0
ENSG00000109016,0.0
ENSG00000102760,0.0
ENSG00000188783,0.0
ENSG00000243914,0.0
ENSG00000169507,0.0
ENSG00000152583,0.0
ENSG00000110442,0.0
ENSG00000250740,0.0
ENSG00000249926,0.0
ENSG00000117394,0.0
ENSG00000116774,0.0
ENSG00000126088,0.0
ENSG00000175183,0.0
ENSG00000228944,0.0
ENSG00000258386,0.0
ENSG00000036828,0.0
ENSG00000241359,0.0
ENSG00000088356,0.0
ENSG00000241679,0.0
ENSG00000215644,0.0
ENSG00000258498,0.0
ENSG00000024422,0.0
ENSG00000226049,0.0
ENSG00000259392,0.0
ENSG00000080573,0.0
ENSG00000077152,0.0
ENSG00000185414,0.0
ENSG00000162618,0.0
ENSG00000132463,0.0
ENSG00000112715,0.0
ENSG00000124688,0.0
ENSG00000131475,0.0
ENSG00000149591,0.0
ENSG00000237767,0.0
ENSG00000248510,0.0
ENSG00000163993,0.0
ENSG00000122786,0.0
ENSG00000170477,0.0
ENSG00000227338,0.0
ENSG00000242372,0.0
ENSG00000154864,0.0
ENSG00000063046,0.0
ENSG00000111199,0.0
ENSG00000222448,0.0
ENSG00000077616,0.0
ENSG00000181195,0.0
ENSG00000178980,0.0
ENSG00000183960,0.0
ENSG00000267629,0.0
ENSG00000271615,0.0
ENSG00000100577,0.0
ENSG00000100968,0.0
ENSG00000167447,0.0
ENSG00000111341,0.0
ENSG00000163499,0.0
ENSG00000112769,0.0
ENSG00000142694,0.0
ENSG00000182836,0.0
ENSG00000230928,0.0
ENSG00000267667,0.0
ENSG00000156738,0.0
ENSG00000144407,0.0
ENSG00000081760,0.0
ENSG00000161980,0.0
ENSG00000169905,0.0
ENSG00000017483,0.0
ENSG00000185633,0.0
ENSG00000170369,0.0
ENSG00000285081,0.0
ENSG00000279771,0.0
ENSG00000130377,0.0
ENSG00000170633,0.0
ENSG00000116991,0.0
ENSG00000233968,0.0
ENSG00000254575,0.0
ENSG00000109133,0.0
ENSG00000100867,0.0
ENSG00000164236,0.0
ENSG00000106333,0.0
ENSG00000235781,0.0
