ID_REF,GSM631755,GSM631756,GSM631757,GSM631758,GSM631759,GSM631760,GSM631761,GSM631762,GSM631763,GSM631764,GSM631765,GSM631766,GSM631767
"""1007_s_at""",9.37362,9.27457,9.31466,8.81297,9.22501,8.6195,9.79252,8.71202,8.8878,9.41581,8.86084,10.1835,8.7555
"""1053_at""",4.88624,4.57343,4.66537,4.41698,4.53738,4.89242,4.57879,4.3637,4.33044,4.33198,4.17537,4.39334,4.65933
"""117_at""",4.96282,4.91762,4.9978,5.68013,7.17241,5.41695,5.21297,5.26965,5.54095,6.35407,5.62223,5.3208,5.87183
"""121_at""",7.80585,7.25204,7.10025,7.98722,7.83563,8.09589,7.66055,7.46696,8.01953,8.5485,8.89975,8.2442,8.10341
"""1255_g_at""",2.99568,3.13716,3.31115,3.39302,3.22608,3.4484,3.53151,3.37321,3.58914,3.60277,3.8355,3.60085,3.84845
"""1294_at""",5.86496,5.908,5.5454,7.08601,5.85381,6.22509,6.05949,6.24108,6.61087,7.30959,6.8064,7.06536,6.51999
"""1316_at""",4.714,4.76368,4.73688,5.13795,4.77754,4.99426,5.0032,5.1503,5.38395,5.40588,5.67363,5.2636,5.56291
"""1320_at""",3.81331,3.62043,3.76574,3.96046,3.9283,4.00209,3.83565,4.01251,4.10997,4.09588,4.35531,3.95444,4.05609
"""1405_i_at""",3.74983,3.52672,3.48854,3.90788,3.31866,3.65133,3.53986,3.80711,3.99118,3.91932,4.43341,3.59144,5.00821
"""1431_at""",3.09368,3.12216,3.02732,4.02962,3.03975,3.34048,3.03704,3.23148,3.22122,3.529,3.58041,3.29748,3.51201
"""1438_at""",5.31156,5.15311,5.3069,6.14691,5.57046,6.28229,5.37652,5.54494,6.31894,6.21323,6.41962,5.85699,6.10687
"""1487_at""",7.27482,7.31441,6.92615,7.20505,7.57457,7.05009,7.26466,7.32946,6.93762,6.9453,7.18271,7.34664,6.91876
"""1494_f_at""",5.14176,5.33106,5.10336,5.71773,5.40839,5.6764,5.42611,5.50447,5.9332,6.21225,6.4001,5.46166,6.17462
"""1598_g_at""",8.02493,7.864,7.46076,9.00663,8.23069,7.98342,7.59785,8.43014,8.22842,9.54289,8.54422,9.63641,8.04293
"""160020_at""",5.90432,6.16468,6.114,7.12964,6.1901,6.68555,6.26325,6.47612,6.82622,7.10874,7.34685,6.86547,6.752
