ID_REF,GSM2040049,GSM2040050,GSM2040051,GSM2040052,GSM2040053,GSM2040054,GSM2040055,GSM2040056,GSM2040057,GSM2040058,GSM2040059,GSM2040060,GSM2040061,GSM2040062,GSM2040063,GSM2040064,GSM2040065,GSM2040066,GSM2040067,GSM2040068,GSM2040069,GSM2040070,GSM2040071,GSM2040072,GSM2040073,GSM2040074,GSM2040075,GSM2040076,GSM2040077,GSM2040078,GSM2040079,GSM2040080,GSM2040081,GSM2040082,GSM2040083,GSM2040084,GSM2040085,GSM2040086,GSM2040087,GSM2040088,GSM2040089,GSM2040090,GSM2040091,GSM2040092,GSM2040093,GSM2040094,GSM2040095,GSM2040096,GSM2040097,GSM2040098,GSM2040099,GSM2040100,GSM2040101,GSM2040102,GSM2040103,GSM2040104,GSM2040105,GSM2040106,GSM2040107,GSM2040108,GSM2040109,GSM2040110,GSM2040111,GSM2040112,GSM2040113,GSM2040114,GSM2040115,GSM2040116,GSM2040117,GSM2040118,GSM2040119,GSM2040120,GSM2040121,GSM2040122,GSM2040123,GSM2040124,GSM2040125,GSM2040126,GSM2040127,GSM2040128,GSM2040129,GSM2040130,GSM2040131,GSM2040132,GSM2040133,GSM2040134,GSM2040135,GSM2040136,GSM2040137,GSM2040138,GSM2040139,GSM2040140,GSM2040141,GSM2040142,GSM2040143,GSM2040144,GSM2040145,GSM2040146,GSM2040147,GSM2040148,GSM2040149,GSM2040150,GSM2040151
"""1007_s_at""",11.52548552,12.06555847,12.2414922,12.136862,11.87751012,12.09364346,11.98301422,11.49052934,12.29066919,12.15720014,11.95493098,12.04017639,12.27041049,12.04919262,12.16983203,11.99807009,12.08172658,11.926846,12.13209525,12.17526884,12.19715491,12.15309352,12.15984253,12.07441936,11.96711011,12.21144566,12.30995978,11.82239207,11.7931785,11.77965993,11.90183821,12.32069137,12.10261087,12.13837007,12.13096551,12.30505462,12.09771136,11.72076151,12.11439373,12.08822824,11.83438854,12.03078608,12.04006388,12.13440559,12.09719968,11.98342509,12.04244566,12.26481404,12.058496,12.18821936,12.10918665,11.97143812,12.03594425,11.94685468,11.98474569,12.27771526,11.94949588,11.98383143,11.97113337,12.09699651,12.11131992,11.77852924,12.33744692,12.09151095,11.96788267,12.08946775,11.91211891,11.87187312,12.50705985,11.94922407,11.7687346,11.80146934,12.32600985,11.97029986,11.98733986,12.05964775,12.07108249,12.12467049,12.00965049,12.25291722,12.01413302,12.21872512,12.1480988,12.10561091,11.97523249,12.137167,11.77952229,12.04446992,12.23313857,11.88978007,12.11598882,12.10058312,11.95395198,12.23757186,11.94552872,11.80721,12.21762204,12.02211385,12.23602021,12.29841879,12.11343967,12.15699677,11.88290847
"""1053_at""",8.228068472,7.846810584,8.773812999,8.154032899,7.924744434,8.2323959,8.768798929,8.157430191,8.112147746,8.786430043,8.316681187,8.086484506,8.592625381,8.162751666,7.752690737,7.902893642,8.424827278,7.960964792,8.152573785,7.99146479,8.169069,8.781852587,7.811505607,7.889710333,8.492583409,8.174388479,8.424289194,8.555971431,8.144832403,8.28337756,8.082005515,8.896952266,7.868956707,7.738412953,8.317922291,8.428627722,8.094308914,8.292303548,8.31999321,8.036564123,8.432800911,8.541883435,8.011772509,7.837425946,8.263676708,8.120641082,8.016703032,7.831846179,7.991487292,7.915312914,8.407942371,8.464084732,8.779325412,8.029354832,8.414092551,7.884386292,7.878323971,8.55624958,7.946854554,7.824026664,8.800236026,8.281600092,8.446864227,7.992893048,8.227829942,8.535485395,8.955912882,8.203546148,7.909372825,8.258414003,8.173302977,7.866019012,8.170232594,8.256817404,8.191356831,8.168635994,8.194918476,7.835100148,8.027060514,7.92583008,8.393756501,8.24822033,8.165811242,8.355560932,8.710005984,8.069267059,8.34944755,8.568409138,7.763085983,7.916377943,8.036262564,8.120449057,8.409470261,8.197858633,7.921341319,8.248924137,8.183923001,8.435337086,8.100213755,8.339601199,8.809690178,8.17580979,8.333683327
"""117_at""",6.263649647,6.209374669,6.224915062,6.337770758,7.105535006,6.074780728,6.062526294,6.200196646,6.210638137,6.663307317,6.34388944,6.712370084,6.098235677,6.224784684,6.943180377,7.429842236,6.415840611,6.529585709,6.81990026,6.014386324,6.32092493,6.650856128,6.351361388,6.540415268,6.84138835,6.406261681,6.782689468,8.172852916,6.157959442,6.429298759,5.680599294,7.115921394,6.091089732,6.635854256,7.218364802,5.762157599,7.002213187,6.867698233,6.658913962,5.670394711,6.891155521,6.838409756,6.454611425,5.815168419,6.371284642,5.829887141,6.501050719,6.372890297,6.740366223,6.596003287,6.447699199,7.368323098,7.219289167,6.237504429,6.42901522,6.304504012,6.014172486,6.306255635,7.020479948,5.733109965,5.753472584,6.375444747,6.643078157,6.482001818,8.902015077,5.65964958,6.542145682,6.282711246,6.345750083,6.628476729,6.222204764,6.855602615,6.964979401,7.629505091,6.957573122,6.140521021,6.750519325,6.84934525,5.478110281,5.476102668,6.971097631,7.0198288,6.780037103,7.038505503,6.132148706,5.435027833,6.746644081,6.481300842,7.848656633,6.586238506,5.972020883,6.571198785,5.954799829,6.245606041,6.769929758,6.077184125,6.53423092,6.77486646,6.62710981,6.782788145,6.067884755,6.095668057,7.197126725
"""121_at""",6.98031598,6.845664521,8.470867949,7.077126957,6.719633753,7.233704959,6.58723117,6.708857888,7.447160786,6.621073615,7.205406601,6.353551057,6.451751982,6.738186981,6.630912448,7.078532505,7.362359415,6.323363036,7.344649515,6.686810778,6.7032811,6.589448242,6.348126752,6.862146738,7.770516269,6.892041117,7.312161802,6.841402471,7.899255811,7.081376855,6.803156935,6.556716693,7.694795315,6.390807927,6.500329069,7.531897733,6.733769194,7.202389803,6.829146293,7.640153487,6.300419856,7.90305825,6.344508946,6.940871889,6.414209991,5.956846929,7.121194202,6.242775026,6.471064756,7.275128696,7.579079666,7.09028541,7.008529477,6.123057872,7.249705125,6.74976629,7.500545213,7.360019041,7.173347348,6.63109394,7.226980633,6.98301884,6.518080947,7.16072263,7.250401662,7.538247712,7.619371271,7.397601024,7.539734677,7.416104137,6.928379531,6.879309678,6.395302485,6.967040628,5.857233485,6.996461298,5.958559546,7.181460002,7.359152351,6.727745433,6.341665524,6.841710699,7.063587158,7.745573154,6.633004504,7.382137199,6.079205725,7.00651019,6.688567835,6.71225591,6.241906264,6.934611878,7.501858426,7.183190448,6.775619075,7.507804815,6.764116224,6.17805569,6.818218618,7.716123405,7.529153328,6.298738149,7.158235109
"""1294_at""",6.935224207,7.756955417,7.273757644,7.714095758,7.643371869,7.156316204,7.537414389,6.97819934,6.95498802,8.187629694,7.721542388,7.112802759,7.836651149,7.249149035,7.788920938,7.096563721,7.905824068,7.243317336,7.782371492,7.165078847,7.404773826,7.500292126,8.073601752,7.343426299,7.63487701,7.740259042,7.9179349,7.20674321,6.859839929,7.518315454,7.398599768,7.026851796,7.126117976,6.882543714,7.266243398,8.016823809,7.98646757,7.516138002,7.725857951,7.567032062,7.672530269,7.313378823,8.041928546,7.401117318,7.90629319,7.356708991,7.704835759,7.729816859,7.50375683,7.394086016,7.620808423,6.670485746,7.150236415,7.238427268,7.259150226,7.543594114,7.732560995,7.363995145,7.495997548,7.999688439,7.681841792,7.675691142,6.596583325,7.42881353,7.337973166,7.928162335,7.404703718,7.409859075,7.312741639,7.338610482,7.217459601,7.763559163,8.045999058,6.855387859,6.616584375,7.831683519,7.757943507,7.928893014,7.710895077,7.617920339,7.213685144,7.553110141,7.023121069,7.262016612,7.017505412,7.441486192,7.042958672,7.971782309,7.340347909,7.090764078,7.870895994,7.322624747,7.367975192,7.913223076,7.464514301,7.092849156,8.309909157,7.368704969,7.304484568,7.401232185,7.350252029,7.906655081,7.262991517
"""1316_at""",7.20269289,7.296280212,6.501720784,6.339735831,7.169076755,7.080276892,7.254237632,7.286240193,6.859844684,6.951370217,7.158624899,6.992247438,6.333460819,7.11448415,7.11245874,6.899466903,6.286398229,6.301152949,6.936937689,7.149096656,6.925442194,7.224612821,6.338857947,7.253553148,6.243083553,6.897435632,7.331963345,6.989924859,6.400898772,6.728645252,6.648282121,6.88311158,7.032505518,7.192960103,7.129484769,7.553753893,7.049896567,7.145668106,6.1758253,6.789342849,6.885768545,6.837097763,6.751471003,6.763910434,6.649991708,6.464526102,6.711643737,6.866436185,6.580900675,6.899860756,7.106318623,6.880295153,7.105809102,6.078513071,6.82975068,7.323680237,6.781448099,7.436997684,7.046297061,6.627776597,7.069225501,6.388097968,7.508024897,6.867659035,7.096230109,6.997309515,6.627568249,6.674039167,6.752008764,6.902628642,6.31802256,5.862781465,6.957601516,7.218456982,6.858379826,7.238455901,7.068803235,7.51225473,7.316226679,6.987261749,6.3014051,7.372748159,7.110540109,6.787465785,6.740415188,7.027106838,6.298359811,6.930498519,6.407932622,6.943520369,7.082144232,7.041879633,6.418904971,6.647756804,6.86073792,6.518341876,7.194512834,6.553120301,6.876412704,6.995443088,6.32191725,7.242908727,6.308789619
"""1320_at""",6.50630271,6.260815816,6.03734991,6.060582423,5.900462595,5.789270548,6.172173311,6.533224505,6.360910011,6.507284812,5.933052879,6.106050345,5.712294154,5.973550285,5.996568375,5.705912691,6.137459106,6.024402566,6.484451141,5.447618988,6.053543338,6.156745572,6.015466897,5.831116605,6.38906841,6.426596566,6.243737044,6.23930736,5.838562246,6.089972197,6.079507941,6.233220592,5.789569938,5.84565328,5.728319662,6.016251143,6.75842792,6.25992792,6.428248255,6.211389167,6.505149748,6.226488579,5.690686609,5.895295641,6.35483094,5.641877919,6.153142722,5.629550468,6.092988469,5.912618399,6.310897017,6.191330013,5.908632833,5.81872586,5.910579272,5.717232938,6.309970141,6.125058379,5.966191832,6.215428789,5.98676848,6.215428789,6.233039433,6.037283222,6.319331589,6.312726794,6.217126889,6.082048,6.114016612,6.081430344,6.328139218,6.567802412,5.936443469,5.943819414,5.799382983,6.172363646,5.718798023,5.901282284,5.958198164,5.66298303,6.314047859,5.759640947,6.229389615,6.073614043,6.325607177,6.243099402,6.600964036,5.968593725,5.539147532,6.041880563,6.09649741,6.293118062,6.29621445,5.88138444,6.113355524,6.074306628,6.013410993,5.897382446,6.126515174,5.687774166,6.466859845,5.935399213,6.405620167
"""1487_at""",10.17448656,9.603658511,9.910505701,9.72952737,9.512516331,9.361507,9.80721249,9.573339976,9.324938183,9.77785045,9.493415949,9.370555917,9.324005305,9.356352554,9.722624072,9.203011029,9.864608103,9.217726884,9.628683258,9.409384872,9.584211841,9.036631536,9.621305063,9.455775361,9.682743708,9.586858434,9.117335652,9.566863331,9.673638136,9.708657856,9.551620116,9.172425685,9.285332077,9.286480387,9.336466864,9.472208257,10.28568075,9.638689073,9.840375529,9.591337403,9.887532027,9.71763572,9.252640944,9.256837119,9.680821538,9.402793268,9.854612769,9.172736655,9.78439885,9.332108114,9.538037528,9.352842426,9.740008574,8.900457443,9.368110419,9.295069094,9.330505917,9.834066951,9.47112225,9.443602163,9.790524897,9.441434485,9.273863548,9.573851339,9.761779601,9.680312593,9.549162679,9.671997832,9.430504682,9.350855783,9.785562924,9.829007778,9.773150109,9.373354011,8.916924443,9.46076092,9.556701639,9.616140163,9.705227974,9.471234233,9.353053886,9.732420558,9.538341016,9.62122242,9.321633947,9.599193069,9.440169791,9.972664277,9.058823126,9.509611972,9.679454198,9.2553723,9.64140116,9.835768394,9.541468299,9.584757993,9.687658293,9.085268241,9.081078916,9.322750613,9.68922929,9.775110456,9.747705287
"""1552256_a_at""",5.815862776,6.660610208,6.873043863,6.7842925,6.897065913,7.301073754,6.212346846,6.463885684,6.305403019,6.409421456,6.674479932,6.391119361,7.106004695,6.325838226,6.84398124,6.550779845,6.60044382,6.264126138,6.921604194,6.68374511,6.705854734,7.183518034,7.121324777,7.089671431,6.15534102,6.450524588,7.367234687,6.425110237,6.633083851,6.468714237,6.487604065,6.611794303,7.148576322,5.951852141,7.005393246,6.879309732,6.980567979,6.31368508,6.295491522,6.998324704,6.118379244,6.604583644,6.911242648,6.953167477,7.116343464,6.860891251,6.902720821,6.87859586,6.49347198,7.261774179,6.788808201,6.146675659,6.150566782,7.104183705,6.359130964,7.159729483,6.876747576,6.796298612,6.429754844,6.314869442,6.658455587,6.323527191,7.092899449,6.625283765,6.201151378,6.644166287,6.035644977,6.877538677,7.089610369,6.954464564,6.578511512,6.775147015,7.46030227,5.968656475,6.603282763,6.434597123,6.598460042,6.856494074,6.243241211,6.524803934,6.202229639,6.495100354,6.527763331,6.65666152,6.643289429,6.548974958,5.888826035,6.210002784,6.5876087,6.305038746,6.477459857,6.906822231,6.575612292,7.04107295,6.299040542,6.509522986,7.142715249,6.771589987,6.966804274,6.380507063,7.028204075,6.7394178,6.262506024
"""1552257_a_at""",9.97850858,9.760196941,10.42376827,10.09813024,9.989016059,9.648278795,10.16314,9.703906874,9.787502892,10.290267,9.843980592,9.39168991,9.262879476,9.517868206,9.715170157,9.562905528,10.1476655,9.559710488,9.712449471,9.645236756,9.342698094,9.957250652,9.588050929,9.727058192,10.25265502,9.810049906,10.26279909,9.560517013,9.47880705,9.86390015,9.742313224,9.73128098,9.876000885,9.848897478,9.513956663,9.423506722,10.37151989,9.67542203,10.27804578,9.572902929,10.23242254,9.28832073,9.421184359,9.805718837,9.45318707,9.538771973,9.710116087,9.673337238,9.874836522,9.261361844,10.12557763,9.812608802,9.47907171,9.25438955,9.552106485,9.31923188,9.465650045,10.13481592,9.675951849,9.525350308,10.04112572,9.938720161,10.0654416,10.00138365,10.48351775,9.912036282,10.02736718,10.14017404,9.658867539,9.273209777,9.38815356,9.868960481,9.502759935,9.658305191,9.479591227,9.22316087,9.460921298,9.249640897,9.935704573,10.00043727,9.875708648,9.87525877,9.807102281,10.22796298,10.25270626,9.56700056,9.871294114,10.07703805,9.03784328,9.657200708,9.61177839,10.10268882,10.14511626,10.08047681,9.567104792,9.691392233,9.781238575,9.752371278,9.173111941,9.599382922,10.29843738,9.516358246,9.990380895
