gene,mean_control,mean_diabetes,log2_fold_change,fold_change,pvalue,cohens_d,abs_log2_fc,pvalue_adj,significant,neg_log10_pval,neg_log10_pval_adj,category,avg_expression
GENE12571,0.445177331898444,-0.4451773318984458,-0.8903546637968898,-1.853631753873155,2.189569884020062e-06,-0.9847109911742363,0.8903546637968898,0.04379139768040124,True,5.659641188969257,1.3586111933052758,Downregulated,-9.159339953157541e-16
GENE04948,0.4256508629976027,-0.42565086299759963,-0.8513017259952023,-1.8041280335914682,6.652383782781921e-06,-0.9316919713512299,0.8513017259952023,0.0665238378278192,False,5.1770227038396905,1.177022703839691,Not significant,1.5265566588595902e-15
KCNJ11,0.3960665011867205,-0.39606650118672043,-0.792133002373441,-1.7316327632866186,3.157409923451894e-05,-0.8543462368601484,0.792133002373441,0.07016466496559765,False,4.500669030418175,1.1538815441935184,Not significant,2.7755575615628914e-17
GENE19124,0.39799676798626626,-0.3979967679862687,-0.795993535972535,-1.7362726757760198,2.865014730648634e-05,-0.8592913936472398,0.795993535972535,0.07016466496559765,False,4.542873140739185,1.1538815441935184,Not significant,-1.2212453270876722e-15
GENE03674,0.39910461767204297,-0.39910461767204397,-0.7982092353440869,-1.7389413020951792,2.7088565070026932e-05,-0.862135714218111,0.7982092353440869,0.07016466496559765,False,4.56721399971672,1.1538815441935184,Not significant,-4.996003610813204e-16
GENE09215,0.40313000158528045,-0.4031300015852812,-0.8062600031705616,-1.7486723589695103,2.206030865644349e-05,-0.872508571036036,0.8062600031705616,0.07016466496559765,False,4.656388415429262,1.1538815441935184,Not significant,-3.608224830031759e-16
GENE13260,0.39885235670141256,-0.39885235670141295,-0.7977047134028254,-1.7383332867980144,2.743696724513195e-05,-0.8614876591638037,0.7977047134028254,0.07016466496559765,False,4.561663895206358,1.1538815441935184,Not significant,-1.942890293094024e-16
GENE04744,0.3970967276970637,-0.3970967276970667,-0.7941934553941304,-1.7341076432416151,2.998045715345109e-05,-0.8569838978531095,0.7941934553941304,0.07016466496559765,False,4.523161749149264,1.1538815441935184,Not significant,-1.4988010832439613e-15
INS,0.40960329395345263,-0.4096032939534537,-0.8192065879069064,-1.7644353720844388,1.5767979980327545e-05,-0.8893166769762068,0.8192065879069064,0.07016466496559765,False,4.8022239401263045,1.1538815441935184,Not significant,-5.273559366969494e-16
GENE08386,0.38792709453209745,-0.3879270945320968,-0.7758541890641942,-1.7122035106115348,4.725418608417148e-05,-0.8336401461634253,0.7758541890641942,0.08591670197122087,False,4.325559712811242,1.0659224023054865,Not significant,3.3306690738754696e-16
GENE08389,0.38836595196942514,-0.3883659519694247,-0.7767319039388498,-1.7132455074915458,4.6250395780381754e-05,-0.8347506313895222,0.7767319039388498,0.08591670197122087,False,4.334884546503319,1.0659224023054865,Not significant,2.220446049250313e-16
GENE13802,0.38216645404761856,-0.382166454047615,-0.7643329080952336,-1.698584403342316,6.246330310836615e-05,-0.8191247680286582,0.7643329080952336,0.09285597062310925,False,4.204375053666394,1.0321901659650938,Not significant,1.7763568394002505e-15
GENE02931,0.38160742711926776,-0.3816074271192674,-0.7632148542385351,-1.6972685513447914,6.416014141826459e-05,-0.8177221625559661,0.7632148542385351,0.09285597062310925,False,4.192734687474761,1.0321901659650938,Not significant,1.942890293094024e-16
